iter	Passed	Remaining
462	761	883
463	762	881
464	764	879
465	765	876
466	766	874
467	767	872
468	768	870
469	770	868
470	771	866
471	772	864
472	773	862
473	774	859
474	776	857
475	777	855
476	778	853
477	779	851
478	780	849
479	781	846
480	782	844
481	784	842
482	785	840
483	786	838
484	787	836
485	788	834
486	789	832
487	791	830
488	792	828
489	794	826
490	795	824
491	796	822
492	797	820
493	798	818
494	799	815
495	800	813
496	802	811
497	803	809
498	804	807
499	805	805
500	806	803
501	807	801
502	809	799
503	810	797
504	811	795
505	812	793
506	813	791
507	814	789
508	816	787
509	817	785
510	818	783
511	819	781
512	820	779
513	822	777
514	823	775
515	824	773
516	825	771
517	826	769
518	827	767
519	828	765
520	830	763
521	831	761
522	832	759
523	833	757
524	834	755
525	835	753
526	837	751
527	838	749
528	839	747
529	840	745
530	841	743
531	842	741
532	843	739
533	845	737
534	846	735
535	847	733
536	848	731
537	849	729
538	850	727
539	852	725
540	853	723
541	854	721
542	855	719
543	856	718
544	857	716
545	858	714
546	860	712
547	861	710
548	862	708
549	863	706
550	864	704
551	865	702
552	866	700
553	867	698
554	869	696
555	870	694
556	871	692
557	872	691
558	873	689
559	874	687
560	876	685
561	877	683
562	878	681
563	879	679
564	880	677
565	881	676
566	883	674
567	884	672
568	885	670
569	886	668
570	887	666
571	889	665
572	890	663
573	891	661
574	892	659
575	893	657
576	894	656
577	896	654
578	897	652
579	898	650
580	899	648
581	900	646
582	901	645
583	903	643
584	904	641
585	905	639
586	906	637
587	907	635
588	908	634
589	909	632
590	911	630
591	912	628
592	913	626
593	914	625
594	915	623
595	916	621
596	918	619
597	919	617
598	920	616
599	921	614
600	922	612
601	923	610
602	925	609
603	926	607
604	927	605
605	929	604
606	930	602
607	931	600
608	932	598
609	934	597
610	935	595
611	936	593
612	937	591
613	938	590
614	939	588
615	941	586
616	942	584
617	943	583
618	944	581
619	945	579
620	946	577
621	947	576
622	949	574
623	950	572
624	951	570
625	952	569
626	953	567
627	954	565
628	955	563
629	957	562
630	958	560
631	959	558
632	960	556
633	961	555
634	962	553
635	963	551
636	964	549
637	965	548
638	967	546
639	968	544
640	969	542
641	970	541
642	971	539
643	973	537
644	974	536
645	975	534
646	976	532
647	977	531
648	979	529
649	980	527
650	981	526
651	982	524
652	983	522
653	984	521
654	986	519
655	987	517
656	988	516
657	989	514
658	990	512
659	991	510
660	992	509
661	994	507
662	995	505
663	996	504
664	997	502
665	998	500
666	999	499
667	1001	497
668	1002	496
669	1003	494
670	1004	492
671	1005	491
672	1007	489
673	1008	487
674	1009	486
675	1010	484
676	1011	482
677	1012	481
678	1013	479
679	1015	477
680	1016	476
681	1017	474
682	1019	472
683	1020	471
684	1021	469
685	1022	468
686	1023	466
687	1025	464
688	1026	463
689	1027	461
690	1028	460
691	1029	458
692	1031	456
693	1032	455
694	1033	453
695	1034	452
696	1036	450
697	1037	448
698	1038	447
699	1039	445
700	1041	444
701	1042	442
702	1043	441
703	1045	439
704	1046	438
705	1047	436
706	1048	434
707	1050	433
708	1051	431
709	1052	429
710	1053	428
711	1055	426
712	1056	425
713	1057	423
714	1058	422
715	1059	420
716	1061	418
717	1062	417
718	1063	415
719	1064	414
720	1066	412
721	1067	411
722	1068	409
723	1070	407
724	1071	406
725	1072	404
726	1073	403
727	1075	401
728	1076	400
729	1077	398
730	1079	397
731	1080	395
732	1081	394
733	1083	392
734	1084	390
735	1085	389
736	1087	387
737	1088	386
738	1089	384
739	1090	383
740	1092	381
741	1093	380
742	1094	378
743	1095	377
744	1097	375
745	1098	374
746	1100	372
747	1101	371
748	1102	369
749	1104	368
750	1105	366
751	1106	364
752	1107	363
753	1109	361
754	1110	360
755	1111	358
756	1112	357
757	1114	355
758	1115	354
759	1117	352
760	1118	351
761	1119	349
762	1121	348
763	1122	346
764	1123	345
765	1125	343
766	1126	342
767	1127	340
768	1129	339
769	1130	337
770	1131	336
771	1133	334
772	1134	333
773	1135	331
774	1136	329
775	1137	328
776	1139	326
777	1140	325
778	1141	323
779	1142	322
780	1144	320
781	1145	319
782	1146	317
783	1147	316
784	1149	314
785	1150	313
786	1151	311
787	1152	310
788	1153	308
789	1154	306
790	1156	305
791	1157	304
792	1158	302
793	1160	301
794	1161	299
795	1163	298
796	1164	296
797	1166	295
798	1167	293
799	1168	292
800	1169	290
801	1170	289
802	1172	287
803	1173	286
804	1174	284
805	1176	283
806	1177	281
807	1178	280
808	1179	278
809	1180	276
810	1182	275
811	1183	273
812	1184	272
813	1185	270
814	1187	269
815	1188	267
816	1189	266
817	1190	264
818	1191	263
819	1193	261
820	1194	260
821	1195	258
822	1196	257
823	1198	255
824	1199	254
825	1200	252
826	1202	251
827	1203	249
828	1204	248
829	1205	246
830	1207	245
831	1208	243
832	1209	242
833	1210	240
834	1211	239
835	1213	237
836	1214	236
837	1215	234
838	1217	233
839	1218	232
840	1219	230
841	1220	229
842	1222	227
843	1223	226
844	1225	224
845	1226	223
846	1227	221
847	1228	220
848	1230	218
849	1231	217
850	1232	215
851	1234	214
852	1235	212
853	1236	211
854	1237	209
855	1239	208
856	1240	206
857	1241	205
858	1242	203
859	1243	202
860	1244	200
861	1245	199
862	1247	198
863	1248	196
864	1249	195
865	1250	193
866	1251	192
867	1252	190
868	1254	189
869	1255	187
870	1257	186
871	1258	184
872	1259	183
873	1260	181
874	1262	180
875	1263	178
876	1264	177
877	1265	175
878	1266	174
879	1267	172
880	1268	171
881	1270	169
882	1271	168
883	1272	166
884	1273	165
885	1274	163
886	1275	162
887	1277	161
888	1278	159
889	1279	158
890	1280	156
891	1281	155
892	1282	153
893	1283	152
894	1285	150
895	1286	149
896	1287	147
897	1288	146
898	1289	144
899	1290	143
900	1292	141
901	1293	140
902	1294	139
903	1295	137
904	1296	136
905	1297	134
906	1299	133
907	1300	131
908	1301	130
909	1302	128
910	1303	127
911	1305	125
912	1306	124
913	1308	123
914	1309	121
915	1310	120
916	1311	118
917	1312	117
918	1313	115
919	1315	114
920	1316	112
921	1317	111
922	1318	110
923	1319	108
924	1321	107
925	1322	105
926	1323	104
927	1324	102
928	1326	101
929	1327	99
930	1328	98
931	1329	97
932	1330	95
933	1332	94
934	1333	92
935	1334	91
936	1335	89
937	1336	88
938	1337	86
939	1338	85
940	1340	84
941	1341	82
942	1342	81
943	1343	79
944	1344	78
945	1345	76
946	1347	75
947	1348	73
948	1349	72
949	1351	71
950	1352	69
951	1353	68
952	1354	66
953	1355	65
954	1356	63
955	1357	62
956	1359	61
957	1360	59
958	1361	58
959	1362	56
960	1363	55
961	1364	53
962	1366	52
963	1367	51
964	1368	49
965	1369	48
966	1370	46
967	1371	45
968	1373	43
969	1374	42
970	1375	41
971	1377	39
972	1378	38
973	1379	36
974	1381	35
975	1382	33
976	1383	32
977	1385	31
978	1386	29
979	1387	28
980	1389	26
981	1390	25
982	1391	24
983	1392	22
984	1394	21
985	1395	19
986	1397	18
987	1398	16
988	1399	15
989	1401	14
990	1402	12
991	1403	11
992	1404	9
993	1406	8
994	1407	7
995	1409	5
996	1410	4
997	1412	2
998	1413	1
999	1414	0
